ID,Value,Category,Score
1,572.04,E,11
2,574.14,D,45
3,532.60,B,83
4,916.01,C,16
5,540.17,A,53
6,908.65,A,5
7,97.95,A,25
8,774.37,C,91
9,621.53,E,70
10,247.78,D,14
11,760.37,D,65
12,297.81,B,71
13,71.83,B,13
14,893.96,B,75
15,849.28,C,59
16,17.24,D,9
17,346.00,D,28
18,819.73,D,34
19,411.76,D,76
20,777.81,D,74
21,804.62,D,65
22,152.93,D,52
23,708.57,A,65
24,713.43,B,62
25,859.43,B,25
26,385.39,E,37
27,630.26,E,96
28,853.90,C,6
29,720.23,A,3
30,301.35,B,5
31,428.51,E,52
32,616.06,C,97
33,588.19,E,10
34,400.76,B,28
35,723.23,E,45
36,404.86,E,68
37,736.98,B,78
38,204.98,A,12
39,534.00,D,94
40,904.83,A,60
41,278.74,B,42
42,366.21,E,59
43,799.52,B,39
44,274.25,C,19
45,314.70,C,49
46,359.40,A,49
47,6.47,D,89
48,661.52,D,37
49,506.38,A,41
50,434.23,C,76
51,456.02,D,68
52,578.36,D,83
53,217.71,B,64
54,797.49,A,91
55,29.66,C,30
56,285.85,A,94
57,360.66,E,3
58,699.07,D,63
59,222.65,A,83
60,804.96,A,91
61,566.40,C,8
62,572.67,E,57
63,877.44,A,72
64,576.98,E,91
65,489.25,D,37
66,88.23,D,30
67,476.60,E,6
68,502.87,D,66
69,100.22,C,2
70,25.35,C,8
71,486.17,C,70
72,451.17,D,44
73,742.84,B,74
74,452.55,C,79
75,532.35,A,92
76,562.58,E,65
77,682.40,A,96
78,929.46,E,41
79,690.17,B,13
80,560.53,E,5
81,555.84,D,67
82,651.84,C,46
83,483.94,D,37
84,866.53,C,24
85,297.94,A,83
86,916.62,C,17
87,795.96,C,97
88,628.34,C,24
89,323.08,B,93
90,147.24,C,98
91,340.53,E,81
92,77.48,C,21
93,680.93,A,79
94,672.92,C,86
95,57.79,D,2
96,281.22,C,29
97,147.00,B,77
98,951.78,E,76
99,663.39,E,96
100,865.86,E,55
101,901.86,B,17
102,52.23,A,57
103,805.91,C,14
104,599.85,A,43
105,766.14,C,82
106,388.21,B,14
107,977.96,E,30
108,393.57,A,57
109,125.43,E,24
110,997.73,E,60
111,482.24,D,27
112,674.28,C,1
113,316.68,A,79
114,34.36,C,88
115,502.88,C,39
116,96.34,E,4
117,520.26,D,91
118,90.57,C,87
119,836.29,C,55
120,471.75,E,3
121,406.39,B,4
122,97.19,A,19
123,120.16,C,17
124,835.18,A,92
125,464.61,C,46
126,198.78,D,73
127,216.20,D,9
128,789.20,B,74
129,588.34,A,93
130,90.98,D,64
131,71.52,D,96
132,622.59,E,11
133,112.90,A,66
134,400.70,E,74
135,223.98,C,51
136,573.66,A,97
137,511.74,C,94
138,841.82,B,83
139,88.33,A,8
140,525.42,D,76
141,974.76,B,21
142,669.65,A,40
143,260.68,C,27
144,981.72,D,56
145,596.39,B,93
146,407.92,E,86
147,74.87,C,52
148,21.15,E,55
149,176.78,A,44
150,850.73,E,70
151,803.17,D,90
152,717.25,C,32
153,917.84,E,50
154,395.91,B,75
155,907.03,D,8
156,342.67,C,97
157,917.99,B,58
158,135.78,B,82
159,317.92,C,34
160,863.25,C,14
161,268.53,D,36
162,325.32,B,42
163,515.03,A,15
164,574.70,C,55
165,555.45,A,64
166,785.41,C,8
167,278.17,A,56
168,475.05,C,99
169,672.25,E,82
170,243.45,B,90
171,583.38,D,96
172,224.39,B,3
173,202.31,D,92
174,24.73,A,47
175,476.64,C,100
176,845.81,E,54
177,31.08,E,65
178,284.32,C,35
179,831.23,D,69
180,296.52,D,34
181,931.11,B,96
182,698.17,C,62
183,801.40,C,92
184,790.51,D,49
185,540.87,A,47
186,146.41,B,72
187,699.34,E,54
188,932.17,A,9
189,247.01,A,87
190,474.58,E,73
191,393.42,C,47
192,735.17,A,13
193,787.63,E,70
194,264.40,C,57
195,531.68,A,60
196,552.84,C,5
197,580.19,A,8
198,413.44,C,78
199,21.54,D,12
200,496.77,C,51
201,325.87,A,77
202,8.64,E,95
203,914.24,A,91
204,360.52,B,22
205,20.34,E,74
206,876.84,D,4
207,599.70,B,84
208,268.30,A,54
209,687.58,E,12
210,377.35,C,14
211,895.49,B,8
212,52.56,B,83
